order_id,order_date,store,product,category,quantity,price,customer_age
1001,2024-01-03,Bangalore,Apple iPhone 13,Electronics,1,699.00,34
1002,2024-01-04,Pune,Samsung Galaxy S21,Electronics,1,599.00,28
1003,2024-01-05,New Delhi,Logitech Mouse,Accessories,2,19.99,40
1004,2024-01-06,Bangalore,Nike Shoes,Footwear,1,120.50,26
1005,2024-01-06,Pune,Levi's Jeans,Apparel,1,49.99,31
1006,2024-01-07,Chennai,Apple AirPods,Electronics,1,129.00,29
1007,2024-01-08,Bangalore,Canon DSLR,Electronics,1,899.00,45
1008,2024-01-09,Pune,Adidas T-Shirt,Apparel,3,19.00,22
1009,2024-01-10,New Delhi,Dell Laptop,Electronics,1,999.00,37
1010,2024-01-11,Chennai,HP Printer,Electronics,1,199.99,50
1011,2024-01-12,Bangalore,Kitchen Blender,Home Appliances,1,39.99,33
1012,2024-01-13,Pune,Philips Mixer,Home Appliances,1,59.99,41
1013,2024-01-14,New Delhi,Sony Headphones,Electronics,2,89.50,27
1014,2024-01-15,Chennai,Reebok Shoes,Footwear,1,89.99,30
1015,2024-01-16,Bangalore,Apple iPad,Electronics,1,329.00,36
1016,2024-01-17,Pune,USB-C Cable,Accessories,5,4.99,25
1017,2024-01-18,New Delhi,Table Lamp,Home Appliances,2,24.50,48
1018,2024-01-19,Chennai,Water Bottle,Accessories,4,7.99,21
1019,2024-01-20,Bangalore,Backpack,Accessories,1,39.00,23
1020,2024-01-21,Pune,Samsung TV,Electronics,1,499.00,44
